crop,yr,planted_million_acres,harvested_million_acres,production_million_bushels,yield_bushels_per_acre,weighted_avg_farm_price_million_bushels,loan_rate_dollars_per_bushel,avg_dollars_per_bushel,,
Barley,1887,,3.26,72.4,22.2,0.52,,0.52,,
Barley,1888,,3.28,75.98,23.1,0.59,,0.59,,
Barley,1889,,3.35,80.79,24.1,0.42,,0.42,,
Barley,1890,,3.25,69.88,21.5,0.62,,0.62,,
Barley,1891,,3.59,94.16,26.2,0.52,,0.52,,
Barley,1892,,3.86,95.17,24.7,0.47,,0.47,,
Barley,1893,,3.69,87.11,23.6,0.4,,0.4,,
Barley,1894,,3.64,74.21,20.4,0.44,,0.44,,
Barley,1895,,4.19,104.48,25,0.33,,0.33,,
Barley,1896,,4.13,97.48,23.6,0.3,,0.3,,
Barley,1897,,4.12,102.58,24.9,0.34,,0.34,,
Barley,1898,,4.11,98.17,23.9,0.39,,0.39,,
Barley,1899,,4.47,118.16,26.4,0.39,,0.39,,
Barley,1900,,4.7,96.59,20.5,0.41,,0.41,,
Barley,1901,,4.96,123.8,24.9,0.45,,0.45,,
Barley,1902,,5.47,146.21,26.7,0.45,,0.45,,
Barley,1903,,6.23,149.34,24,0.45,,0.45,,
Barley,1904,,6.58,166.1,25.2,0.41,,0.41,,
Barley,1905,,6.66,171.64,25.8,0.39,,0.39,,
Barley,1906,,6.74,179.15,26.6,0.42,,0.42,,
Barley,1907,,6.85,150.58,22,0.67,,0.67,,
Barley,1908,,7.41,170.78,23.1,0.57,,0.57,,
Barley,1909,,7.7,173.07,22.5,0.57,,0.57,,
Barley,1910,,7.55,142.42,18.9,0.6,,0.6,,
Barley,1911,,7.61,145.07,19.1,0.81,,0.81,,
Barley,1912,,7.54,196.93,26.1,0.51,,0.51,,
Barley,1913,,7.67,158.82,20.7,0.53,,0.53,,
Barley,1914,,7.65,177.71,23.2,0.53,,0.53,,
Barley,1915,,7.28,206.98,28.4,0.51,,0.51,,
Barley,1916,,7.62,159.16,20.9,0.79,,0.79,,
Barley,1917,,8.45,182.21,21.6,1.22,,1.22,,
Barley,1918,,9.2,225.07,24.5,0.96,,0.96,,
Barley,1919,,6.58,131.09,19.9,1.28,,1.28,,
Barley,1920,,7.44,171.04,23,0.91,,0.91,,
Barley,1921,,7.07,132.7,18.8,0.5,,0.5,,
Barley,1922,,6.6,152.91,23.2,0.51,,0.51,,
Barley,1923,,7.15,158.99,22.2,0.55,,0.55,,
Barley,1924,,7.04,165.32,23.5,0.74,,0.74,,
Barley,1925,,8.19,192.47,23.5,0.62,,0.62,,
Barley,1926,8.8,7.92,166.03,21,0.57,,0.57,,
Barley,1927,9.51,9.47,239.07,25.3,0.7,,0.7,,
Barley,1928,12.83,12.74,328.35,25.8,0.59,,0.59,,
Barley,1929,14.7,13.56,280.64,20.7,0.6,,0.6,,
Barley,1930,13.58,12.63,301.62,23.9,0.42,,0.42,,
Barley,1931,13.82,11.18,200.28,17.9,0.35,,0.35,,
Barley,1932,14.56,13.21,299.39,22.7,0.23,,0.23,,
Barley,1933,14.2,9.64,152.84,15.9,0.43,,0.43,,
Barley,1934,12.02,6.58,117.39,17.8,0.64,,0.64,,
Barley,1935,13.96,12.44,288.67,23.2,0.38,,0.38,,
Barley,1936,12.84,8.33,147.74,17.7,0.75,,0.75,,
Barley,1937,12.35,9.97,221.89,22.3,0.55,,0.55,,
Barley,1938,12.17,10.61,256.62,24.2,0.38,,0.38,,
Barley,1939,15.51,12.74,278.19,21.8,0.4,,0.4,,
Barley,1940,15.69,13.53,311.28,23,0.39,,0.39,,
Barley,1941,15.86,14.28,362.57,25.4,0.55,,0.55,,
Barley,1942,19.69,16.96,429.45,25.3,0.63,,0.63,,
Barley,1943,17.47,14.9,322.91,21.7,1,,1,,
Barley,1944,14.35,12.3,276.28,22.5,1.01,,1.01,,
Barley,1945,11.75,10.45,266.99,25.5,1.01,,1.01,,
Barley,1946,11.47,10.38,265.06,25.5,1.38,,1.38,,
Barley,1947,11.98,10.96,281.87,25.7,1.73,,1.73,,
Barley,1948,13.06,11.91,315.54,26.5,1.16,,1.16,,
Barley,1949,11.13,9.87,237.07,24,1.06,,1.06,,
Barley,1950,13.01,11.16,303.77,27.2,1.19,,1.19,,
Barley,1951,10.79,9.42,257.21,27.3,1.26,,1.26,,
Barley,1952,9.19,8.24,228.17,27.7,1.37,,1.37,,
Barley,1953,9.62,8.68,246.72,28.4,1.17,,1.17,,
Barley,1954,14.74,13.37,379.25,28.4,1.09,,1.09,,
Barley,1955,16.29,14.52,403.07,27.8,0.92,,0.92,,
Barley,1956,14.73,12.85,376.66,29.3,0.99,,0.99,,
Barley,1957,16.4,14.87,442.76,29.8,0.89,,0.89,,
Barley,1958,16.15,14.79,477.37,32.3,0.9,,0.9,,
Barley,1959,16.77,14.87,420.2,28.3,0.86,,0.86,,
Barley,1960,15.53,13.86,429.01,31,0.84,,0.84,,
Barley,1961,15.62,12.81,392.44,30.6,0.98,,0.98,,
Barley,1962,14.38,12.21,427.73,35,0.92,,0.92,,
Barley,1963,13.45,11.24,392.83,35,0.9,,0.9,,
Barley,1964,11.65,10.28,386.06,37.6,0.95,,0.95,,
Barley,1965,10.12,9.17,393.06,42.9,1.02,,1.02,,
Barley,1966,11.18,10.25,392.11,38.3,1.06,,1.06,,
Barley,1967,10.08,9.23,373.75,40.5,1.01,,1.01,,
Barley,1968,10.49,9.73,426.15,43.8,0.92,,0.92,,
Barley,1969,10.29,9.56,427.06,44.7,0.89,,0.89,,
Barley,1970,10.48,9.71,416.09,42.8,0.97,,0.97,,
Barley,1971,11.06,10.1,462.42,45.8,0.99,,0.99,,
Barley,1972,10.57,9.65,421.72,43.7,1.21,,1.21,,
Barley,1973,11.05,10.3,417.43,40.5,2.14,,2.14,,
Barley,1974,8.71,7.93,298.67,37.7,2.81,,2.81,,
Barley,1975,9.37,8.62,379.16,44,2.42,0.9,2.42,,
Barley,1976,9.3,8.44,383.01,45.4,2.25,1.22,2.25,,
Barley,1977,10.78,9.73,427.78,44,1.78,1.63,1.78,,
Barley,1978,9.99,9.25,454.76,49.2,1.92,1.63,1.92,,
Barley,1979,8.12,7.53,383.2,50.9,2.27,1.71,2.27,,
Barley,1980,8.32,7.26,361.14,49.7,2.79,1.83,2.79,,
Barley,1981,9.62,9.04,473.51,52.4,2.48,1.95,2.48,,
Barley,1982,9.55,9.01,515.94,57.2,2.18,2.08,2.18,,
Barley,1983,10.41,9.72,508.27,52.3,2.47,2.16,2.47,,
Barley,1984,11.93,11.22,598.03,53.3,2.29,2.08,2.29,,
Barley,1985,13.14,11.59,590.21,50.9,1.98,2.08,1.98,,
Barley,1986,13.02,11.97,608.53,50.8,1.61,1.56,1.61,,
Barley,1987,10.93,9.96,521.5,52.4,1.81,1.49,1.81,,
Barley,1988,9.83,7.64,289.99,38,2.8,1.44,2.8,,
Barley,1989,9.13,8.31,404.2,48.6,2.42,1.34,2.42,,
Barley,1990,8.22,7.53,422.2,56.1,2.14,1.28,2.14,,
Barley,1991,8.94,8.41,464.33,55.2,2.1,1.32,2.1,,
Barley,1992,7.76,7.29,455.09,62.5,2.04,1.4,2.04,,
Barley,1993,7.79,6.75,398.04,58.9,1.99,1.4,1.99,,
Barley,1994,7.16,6.67,374.86,56.2,2.03,1.54,2.03,,
Barley,1995,6.69,6.28,359.38,57.2,2.89,1.54,2.89,,
Barley,1996,7.09,6.71,392.43,58.5,2.74,1.55,2.74,,
Barley,1997,6.71,6.2,359.88,58.1,2.38,1.57,2.38,,
Barley,1998,6.33,5.85,351.57,60.1,1.98,1.56,1.98,,
Barley,1999,4.98,4.57,272,59.5,2.13,1.59,2.13,,
Barley,2000,5.8,5.2,317.8,61.1,2.11,1.62,2.11,,
Barley,2001,4.95,4.27,248.33,58.1,2.22,1.65,2.22,,
Barley,2002,5.01,4.12,226.91,55,2.72,1.88,2.72,,
Barley,2003,5.35,4.73,278.28,58.9,2.83,1.88,2.83,,
Barley,2004,4.53,4.02,279.74,69.6,2.48,1.85,2.48,,
Barley,2005,3.88,3.27,211.9,64.8,2.53,1.85,2.53,,
Barley,2006,3.45,2.95,180.17,61.1,2.85,1.85,2.85,,
Barley,2007,4.02,3.5,210.11,60,4.02,1.85,4.02,,
Barley,2008,4.24,3.78,239.07,63.3,5.37,1.85,5.37,,
Barley,2009,3.57,3.11,226.6,72.8,4.66,1.85,4.66,,
Barley,2010,2.87,2.47,180.24,73.1,3.86,1.95,3.86,,
Barley,2011,2.56,2.24,154.79,69.1,5.35,1.95,5.35,,
Barley,2012,3.66,3.27,218.99,66.9,6.43,1.95,6.43,,
Barley,2013,3.53,3.04,216.75,71.3,6.06,1.95,6.06,,
Barley,2014,3.03,2.5,181.54,72.7,5.3,1.95,5.3,,
Barley,2015,3.58,3.16,218.19,69.1,5.52,1.95,5.52,,
Barley,2016,3.06,2.57,199.91,77.9,4.96,1.95,4.96,,
Barley,2017,2.49,1.96,143.26,73,4.47,1.95,4.47,,
Barley,2018,2.55,1.98,153.53,77.5,4.62,1.95,4.62,,
Barley,2019,2.77,2.22,172.5,77.7,4.69,2.5,4.69,39,-98
Barley,2020,2.62,2.13,165.32,77.51,4.75,2.5,4.75,,
Barley,2021,2.6,2.04,114.29,55.91,5.95,2.5,,,
Oats,1866,,7.94,232.36,29.3,0.47,,0.47,,
Oats,1867,,8.18,222.61,27.2,0.59,,0.59,,
Oats,1868,,8.9,229.68,25.8,0.54,,0.54,,
Oats,1869,,9.56,284,29.7,0.46,,0.46,,
Oats,1870,,10.35,267.95,25.9,0.43,,0.43,,
Oats,1871,,11.06,306.22,27.7,0.39,,0.39,,
Oats,1872,,11.79,326.76,27.7,0.32,,0.32,,
Oats,1873,,12.01,306.91,25.6,0.37,,0.37,,
Oats,1874,,12.78,272.5,21.3,0.52,,0.52,,
Oats,1875,,13.62,364.97,26.8,0.37,,0.37,,
Oats,1876,,14.59,327.21,22.4,0.35,,0.35,,
Oats,1877,,14.82,435.33,29.4,0.29,,0.29,,
Oats,1878,,15.83,443.37,28,0.24,,0.24,,
Oats,1879,,15.96,415.44,26,0.33,,0.33,,
Oats,1880,,16.41,417.94,25.5,0.35,,0.35,,
Oats,1881,,16.92,446.13,26.4,0.46,,0.46,,
Oats,1882,,19.08,540.46,28.3,0.37,,0.37,,
Oats,1883,,20.62,605.58,29.4,0.32,,0.32,,
Oats,1884,,21.97,640.52,29.1,0.27,,0.27,,
Oats,1885,,23.35,674.15,28.9,0.28,,0.28,,
Oats,1886,,24.43,682.31,27.9,0.29,,0.29,,
Oats,1887,,26.27,696.18,26.5,0.3,,0.3,,
Oats,1888,,27.81,773.14,27.8,0.27,,0.27,,
Oats,1889,,28.7,831.05,29,0.22,,0.22,,
Oats,1890,,28.28,609.12,21.5,0.42,,0.42,,
Oats,1891,,27.76,836.79,30.1,0.31,,0.31,,
Oats,1892,,28.17,721.82,25.6,0.32,,0.32,,
Oats,1893,,29.27,707.13,24.2,0.29,,0.29,,
Oats,1894,,29.56,750.01,25.4,0.32,,0.32,,
Oats,1895,,30.91,924.86,29.9,0.19,,0.19,,
Oats,1896,,30.25,774.93,25.6,0.18,,0.18,,
Oats,1897,,28.83,829.53,28.8,0.21,,0.21,,
Oats,1898,,29.33,842.21,28.7,0.25,,0.25,,
Oats,1899,,29.25,937.17,32,0.25,,0.25,,
Oats,1900,,31.05,945.48,30.5,0.25,,0.25,,
Oats,1901,,30.89,799.81,25.9,0.4,,0.4,,
Oats,1902,,31.36,1076.9,34.3,0.31,,0.31,,
Oats,1903,,32.19,885.47,27.5,0.34,,0.34,,
Oats,1904,,32.75,1011.56,30.9,0.31,,0.31,,
Oats,1905,,33.43,1104.4,33,0.29,,0.29,,
Oats,1906,,33.69,1022.72,30.4,0.32,,0.32,,
Oats,1907,,34.44,801.14,23.3,0.44,,0.44,,
Oats,1908,,34.31,829.31,24.2,0.49,,0.49,,
Oats,1909,,35.06,1013.91,28.9,0.42,,0.42,,
Oats,1910,,36.84,1106.16,30,0.34,,0.34,,
Oats,1911,,37.15,885.53,23.8,0.44,,0.44,,
Oats,1912,,37.24,1353.27,36.3,0.33,,0.33,,
Oats,1913,,37.25,1039.13,27.9,0.37,,0.37,,
Oats,1914,,37.21,1066.33,28.7,0.43,,0.43,,
Oats,1915,,38.8,1435.27,37,0.37,,0.37,,
Oats,1916,,39.1,1138.97,29.1,0.47,,0.47,,
Oats,1917,,41.6,1442.52,34.7,0.68,,0.68,,
Oats,1918,,42.46,1428.61,33.6,0.66,,0.66,,
Oats,1919,,39.6,1106.6,27.9,0.75,,0.75,,
Oats,1920,,42.73,1444.29,33.8,0.52,,0.52,,
Oats,1921,,45.54,1045.27,23,0.3,,0.3,,
Oats,1922,,40.32,1147.91,28.5,0.36,,0.36,,
Oats,1923,,40.25,1227.18,30.5,0.39,,0.39,,
Oats,1924,,41.86,1416.12,33.8,0.47,,0.47,,
Oats,1925,,44.24,1405.27,31.8,0.37,,0.37,,
Oats,1926,43.94,42.85,1152.91,26.9,0.39,,0.39,,
Oats,1927,40.53,40.35,1093.22,27.1,0.46,,0.46,,
Oats,1928,40.24,40.13,1312.91,32.7,0.39,,0.39,,
Oats,1929,40.53,38.15,1112.95,29.2,0.4,,0.4,,
Oats,1930,42.61,39.85,1274.59,32,0.31,,0.31,,
Oats,1931,44.48,40.19,1124.23,28,0.2,,0.2,,
Oats,1932,45.55,41.7,1254.58,30.1,0.15,,0.15,,
Oats,1933,43.77,36.53,736.31,20.2,0.33,,0.33,,
Oats,1934,40.47,29.46,544.25,18.5,0.46,,0.46,,
Oats,1935,43.6,40.11,1210.23,30.2,0.26,,0.26,,
Oats,1936,41.93,33.65,792.58,23.6,0.43,,0.43,,
Oats,1937,39.83,35.54,1176.74,33.1,0.3,,0.3,,
Oats,1938,39.39,36.04,1089.38,30.2,0.23,,0.23,,
Oats,1939,38.2,33.46,957.7,28.6,0.31,,0.31,,
Oats,1940,39.32,35.43,1246.45,35.2,0.3,,0.3,,
Oats,1941,41.84,38.16,1182.51,31,0.41,,0.41,,
Oats,1942,43.02,38.2,1342.68,35.2,0.48,,0.48,,
Oats,1943,43.47,38.91,1139.83,29.3,0.71,,0.71,,
Oats,1944,44.14,39.74,1149.24,28.9,0.69,,0.69,,
Oats,1945,46.03,41.74,1523.85,36.5,0.65,,0.65,,
Oats,1946,46.52,42.81,1477.57,34.5,0.81,,0.81,,
Oats,1947,42.06,37.86,1176.14,31.1,1.04,,1.04,,
Oats,1948,43.84,39.28,1450.19,36.9,0.72,,0.72,,
Oats,1949,43.13,37.79,1220.12,32.3,0.66,,0.66,,
Oats,1950,45.04,39.31,1369.2,34.8,0.79,,0.79,,
Oats,1951,41.02,35.23,1277.65,36.3,0.82,,0.82,,
Oats,1952,42.34,37.01,1217.43,32.9,0.79,,0.79,,
Oats,1953,43.22,37.54,1153.21,30.7,0.74,,0.74,,
Oats,1954,46.9,40.55,1409.6,34.8,0.71,,0.71,,
Oats,1955,47.49,39.03,1495.98,38.3,0.6,,0.6,,
Oats,1956,44.21,33.33,1151.4,34.5,0.69,,0.69,,
Oats,1957,41.84,34.07,1289.88,37.9,0.61,,0.61,,
Oats,1958,37.7,31.25,1401.41,44.8,0.58,,0.58,,
Oats,1959,35.06,27.76,1050.05,37.8,0.65,,0.65,,
Oats,1960,31.42,26.59,1153.33,43.4,0.6,,0.6,,
Oats,1961,32.31,23.89,1010.31,42.3,0.64,,0.64,,
Oats,1962,29.5,22.38,1012.2,45.2,0.62,,0.62,,
Oats,1963,28.05,21.31,965.51,45.3,0.62,,0.62,,
Oats,1964,25.63,19.76,852.26,43.1,0.63,,0.63,,
Oats,1965,24.05,18.52,929.55,50.2,0.62,,0.62,,
Oats,1966,23.34,17.88,803.32,44.9,0.67,,0.67,,
Oats,1967,20.72,16.11,793.8,49.3,0.66,,0.66,,
Oats,1968,23.34,17.71,950.69,53.7,0.6,,0.6,,
Oats,1969,23.56,17.97,965.86,53.7,0.58,,0.58,,
Oats,1970,24.41,18.59,915.24,49.2,0.62,,0.62,,
Oats,1971,21.83,15.71,878.08,55.9,0.6,,0.6,,
Oats,1972,19.99,13.41,690.62,51.5,0.72,,0.72,,
Oats,1973,18.61,13.77,659.14,47.9,1.18,,1.18,,
Oats,1974,17.01,12.61,600.66,47.6,1.53,,1.53,,
Oats,1975,16.43,13.04,638.96,49,1.45,0.54,1.45,,
Oats,1976,16.62,11.83,540.44,45.7,1.56,0.72,1.56,,
Oats,1977,17.73,13.49,752.77,55.8,1.09,1.03,1.09,,
Oats,1978,16.41,11.13,581.66,52.3,1.2,1.03,1.2,,
Oats,1979,13.96,9.68,526.75,54.4,1.33,1.08,1.33,,
Oats,1980,13.38,8.66,458.79,53,1.72,1.16,1.72,,
Oats,1981,13.63,9.41,509.53,54.2,1.88,1.24,1.88,,
Oats,1982,13.95,10.26,592.63,57.8,1.49,1.31,1.49,,
Oats,1983,20.29,9.06,476.47,52.6,1.62,1.36,1.62,,
Oats,1984,12.41,8.16,473.66,58,1.67,1.31,1.67,,
Oats,1985,13.24,8.15,518.49,63.6,1.23,1.31,1.23,,
Oats,1986,14.67,6.84,385,56.3,1.21,0.99,1.21,,
Oats,1987,17.91,6.89,373.71,54.3,1.56,0.94,1.56,,
Oats,1988,13.91,5.53,217.38,39.3,2.61,0.9,2.61,,
Oats,1989,12.09,6.88,373.59,54.3,1.49,0.85,1.49,,
Oats,1990,10.42,5.95,357.65,60.1,1.14,0.81,1.14,,
Oats,1991,8.65,4.82,243.85,50.6,1.21,0.83,1.21,,
Oats,1992,7.94,4.5,294.23,65.4,1.32,0.88,1.32,,
Oats,1993,7.94,3.8,206.73,54.4,1.36,0.88,1.36,,
Oats,1994,6.64,4.01,228.84,57.1,1.22,0.97,1.22,,
Oats,1995,6.23,2.95,161.09,54.6,1.67,0.97,1.67,,
Oats,1996,4.64,2.66,153.25,57.7,1.96,1.03,1.96,,
Oats,1997,5.07,2.81,167.25,59.5,1.6,1.11,1.6,,
Oats,1998,4.89,2.75,165.77,60.2,1.1,1.11,1.1,,
Oats,1999,4.67,2.45,145.63,59.6,1.12,1.13,1.12,,
Oats,2000,4.47,2.33,149.17,64.2,1.1,1.16,1.1,,
Oats,2001,4.4,1.91,117.6,61.5,1.59,1.21,1.59,,
Oats,2002,5,2.06,116,56.4,1.81,1.35,1.81,,
Oats,2003,4.6,2.22,144.38,65,1.48,1.35,1.48,,
Oats,2004,4.09,1.79,115.7,64.7,1.48,1.33,1.48,,
Oats,2005,4.25,1.82,114.86,63,1.63,1.33,1.63,,
Oats,2006,4.17,1.56,93.52,59.8,1.87,1.33,1.87,,
Oats,2007,3.76,1.5,90.43,60.1,2.63,1.33,2.63,,
Oats,2008,3.26,1.41,90.05,63.7,3.15,1.33,3.15,,
Oats,2009,3.35,1.34,91.04,67.9,2.02,1.33,2.02,,
Oats,2010,3.11,1.27,81.86,64.6,2.52,1.39,2.52,,
Oats,2011,2.35,0.88,50.13,57.3,3.49,1.39,3.49,,
Oats,2012,2.7,1.01,61.49,61.2,3.89,1.39,3.89,,
Oats,2013,2.98,1.01,64.64,64.1,3.75,1.39,3.75,,
Oats,2014,2.75,1.04,70.23,67.9,3.21,1.39,3.21,,
Oats,2015,3.09,1.28,89.46,70.2,2.12,1.39,2.12,,
Oats,2016,2.83,0.98,64.63,66,2.06,1.39,2.06,,
Oats,2017,2.59,0.8,49.59,61.7,2.59,1.39,2.59,,
Oats,2018,2.75,0.87,56.13,64.9,2.66,1.39,2.66,,
Oats,2019,2.83,0.83,53.26,64.3,2.82,2,2.82,39,-98
Oats,2020,2.98,1,65.36,65.09,2.77,2,2.77,,
Oats,2021,2.35,0.72,41.31,57.21,3.6,2,,,